,ArticleId,Category
0,1018,sport
1,1319,tech
2,1138,sport
3,459,business
4,1020,sport
5,51,sport
6,2025,politics
7,1479,politics
8,27,entertainment
9,397,business
10,1644,business
11,263,tech
12,765,politics
13,2134,tech
14,297,entertainment
15,1712,sport
16,1631,politics
17,942,tech
18,1549,entertainment
19,516,politics
20,2215,business
21,531,politics
22,1541,sport
23,1340,business
24,56,politics
25,2138,sport
26,338,business
27,133,sport
28,215,sport
29,521,business
30,1777,politics
31,185,tech
32,2105,business
33,1556,business
34,659,sport
35,1837,sport
36,59,sport
37,383,business
38,1581,entertainment
39,2167,politics
40,1593,tech
41,1849,politics
42,1691,entertainment
43,2033,tech
44,2092,sport
45,849,tech
46,1780,entertainment
47,1747,business
48,1509,politics
49,1305,business
50,2055,politics
51,2139,business
52,57,business
53,1496,business
54,671,tech
55,1193,politics
56,2104,tech
57,872,entertainment
58,606,sport
59,1502,tech
60,244,sport
61,381,entertainment
62,1944,tech
63,725,politics
64,369,business
65,211,entertainment
66,1861,sport
67,1044,tech
68,976,sport
69,1673,sport
70,442,tech
71,144,sport
72,1954,business
73,48,politics
74,608,tech
75,2165,sport
76,913,tech
77,1580,tech
78,1061,tech
79,529,entertainment
80,2137,politics
81,1284,sport
82,2040,entertainment
83,349,entertainment
84,1385,business
85,1307,entertainment
86,807,business
87,333,entertainment
88,786,business
89,1775,tech
90,558,business
91,592,politics
92,2172,sport
93,1735,tech
94,1188,sport
95,511,sport
96,157,sport
97,646,sport
98,8,sport
99,821,sport
100,1001,politics
101,309,sport
102,1732,politics
103,1291,entertainment
104,2136,business
105,999,sport
106,1258,politics
107,721,sport
108,1922,politics
109,954,entertainment
110,847,sport
111,846,business
112,313,entertainment
113,1997,sport
114,322,politics
115,1221,sport
116,129,politics
117,981,sport
118,330,politics
119,1172,business
120,2123,entertainment
121,1165,business
122,1592,entertainment
123,2094,entertainment
124,841,tech
125,1224,sport
126,72,business
127,1176,entertainment
128,1285,business
129,1671,entertainment
130,67,business
131,952,politics
132,884,politics
133,2011,tech
134,1979,business
135,519,business
136,1132,politics
137,1782,tech
138,112,entertainment
139,1996,sport
140,683,business
141,1447,tech
